n_permissions,director_count,mean_director_tenure,has_ch_data,total_filings,has_permissions,has_client_money,n_total_officers,director_to_officer_ratio,filing_count_3yr,has_prior_disciplinary,has_annual_accounts,accounts_days_late,accounts_late_3yr_avg,n_prior_disciplinary,n_active_officers,director_churn_24m,firm_age_years,accounts_days_late_missing,accounts_late_3yr_avg_missing,director_churn_24m_missing,director_count_missing,mean_director_tenure_missing,director_to_officer_ratio_missing,firm_age_years_missing,n_permissions_leakage_risk,client_money_Control but not hold client money,client_money_Hold and control client money,client_money_Missing,client_money_Not hold and not control client money,business_type_3MLD,business_type_Appointed Representative,business_type_Branch (UK) of a Overseas Firm,business_type_Introducer A.R.,business_type_Other,business_type_PSD,business_type_Regulated,company_type_Missing,company_type_Other,company_type_industrial-and-provident-society,company_type_limited-partnership,company_type_llp,company_type_ltd,company_type_oversea-company,company_type_plc,company_type_private-limited-guarant-nsc,company_type_private-limited-guarant-nsc-limited-exemption,company_type_private-unlimited,company_type_registered-society-non-jurisdictional,company_type_uk-establishment,fca_status_Authorised,fca_status_Authorised - applied to cancel,fca_status_Other,fca_status_Registered,fca_status_See full details
12,2.0,10.2,1,33,1,1,7,1.0,7,0,1,0.0,0.0,0,2,0.0,29.1,0,0,0,0,1,0,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
12,1.0,10.2,1,41,1,1,7,1.0,11,0,1,0.0,0.0,0,1,1.0,30.1,0,0,0,0,1,0,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
12,1.0,10.2,1,47,1,1,7,1.0,16,0,1,0.0,0.0,0,1,1.0,31.1,0,0,0,0,1,0,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
12,1.0,10.2,1,52,1,1,7,1.0,19,0,1,0.0,0.0,0,1,0.0,32.1,0,0,0,0,1,0,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
12,5.0,0.5,1,61,1,1,13,0.83,20,0,1,0.0,0.0,0,6,1.0,33.1,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
12,6.0,1.4,1,65,1,1,14,0.86,18,0,1,0.0,19.0,0,7,1.0,34.1,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
12,7.0,2.2,1,67,1,1,15,0.88,15,0,1,0.0,19.0,0,8,0.0,35.1,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
12,7.0,3.2,1,70,1,1,15,0.88,9,0,1,0.0,19.0,0,8,0.0,36.1,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
12,7.0,4.2,1,72,1,1,15,0.88,7,0,1,0.0,0.0,0,8,0.0,37.1,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
6,8.0,3.7,1,0,1,1,50,1.0,0,0,0,0.0,0.0,0,8,0.0,29.0,1,1,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
6,7.0,4.5,1,0,1,1,50,1.0,0,0,0,0.0,0.0,0,7,1.0,30.0,1,1,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
6,5.0,2.5,1,0,1,1,53,0.83,0,0,0,0.0,0.0,0,6,5.0,31.0,1,1,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
6,5.0,3.5,1,4,1,1,54,0.83,4,0,1,0.0,0.0,0,6,4.0,32.0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
6,3.0,3.8,1,10,1,1,54,0.75,10,0,1,0.0,0.0,0,4,2.0,33.0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
6,4.0,3.7,1,16,1,1,56,0.8,16,0,1,0.0,0.0,0,5,2.0,34.0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
6,3.0,3.6,1,33,1,1,56,0.75,29,0,1,0.0,0.0,0,4,1.0,35.0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
6,8.0,0.3,1,52,1,1,66,0.89,42,0,1,0.0,0.0,0,9,5.0,36.0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
6,6.0,1.4,1,60,1,1,67,0.86,44,0,1,0.0,0.0,0,7,7.0,37.0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
0,5.0,6.7,1,73,0,0,7,0.83,8,0,1,0.0,0.0,0,6,0.0,38.4,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
6,1.0,10.2,1,79,1,1,5,1.0,9,0,1,0.0,0.0,0,1,0.0,29.7,0,0,0,0,1,0,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
6,1.0,10.2,1,81,1,1,5,1.0,6,0,1,0.0,0.0,0,1,0.0,30.7,0,0,0,0,1,0,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
