frn,firm_name,obs_date,y,n_permissions,client_money,business_type,n_prior_disciplinary,firm_age_years,accounts_days_late,accounts_late_3yr_avg,director_count,director_churn_24m,mean_director_tenure,has_ch_data,company_status,company_type,total_filings,has_permissions,has_client_money,n_active_officers,n_total_officers,director_to_officer_ratio,filing_count_3yr,has_prior_disciplinary,fca_status
120776,W1M Wealth Management Limited,2016-01-01,0,12,Not hold and not control client money,Regulated,0,29.1,0.0,0.0,2.0,0.0,,1,active,ltd,33,1,1,2,7,1.0,7,0,Authorised
120776,W1M Wealth Management Limited,2017-01-01,0,12,Not hold and not control client money,Regulated,0,30.1,0.0,0.0,1.0,1.0,,1,active,ltd,41,1,1,1,7,1.0,11,0,Authorised
120776,W1M Wealth Management Limited,2018-01-01,0,12,Not hold and not control client money,Regulated,0,31.1,0.0,0.0,1.0,1.0,,1,active,ltd,47,1,1,1,7,1.0,16,0,Authorised
120776,W1M Wealth Management Limited,2019-01-01,0,12,Not hold and not control client money,Regulated,0,32.1,0.0,0.0,1.0,0.0,,1,active,ltd,52,1,1,1,7,1.0,19,0,Authorised
120776,W1M Wealth Management Limited,2020-01-01,0,12,Not hold and not control client money,Regulated,0,33.1,0.0,0.0,5.0,1.0,0.5,1,active,ltd,61,1,1,6,13,0.83,20,0,Authorised
120776,W1M Wealth Management Limited,2021-01-01,0,12,Not hold and not control client money,Regulated,0,34.1,0.0,19.0,6.0,1.0,1.4,1,active,ltd,65,1,1,7,14,0.86,18,0,Authorised
120776,W1M Wealth Management Limited,2022-01-01,0,12,Not hold and not control client money,Regulated,0,35.1,0.0,19.0,7.0,0.0,2.2,1,active,ltd,67,1,1,8,15,0.88,15,0,Authorised
120776,W1M Wealth Management Limited,2023-01-01,0,12,Not hold and not control client money,Regulated,0,36.1,0.0,19.0,7.0,0.0,3.2,1,active,ltd,70,1,1,8,15,0.88,9,0,Authorised
120776,W1M Wealth Management Limited,2024-01-01,0,12,Not hold and not control client money,Regulated,0,37.1,0.0,0.0,7.0,0.0,4.2,1,active,ltd,72,1,1,8,15,0.88,7,0,Authorised
120820,Embark Services Limited,2016-01-01,0,6,Not hold and not control client money,Regulated,0,29.0,,,8.0,0.0,3.7,1,active,ltd,0,1,1,8,50,1.0,0,0,Authorised
120820,Embark Services Limited,2017-01-01,0,6,Not hold and not control client money,Regulated,0,30.0,,,7.0,1.0,4.5,1,active,ltd,0,1,1,7,50,1.0,0,0,Authorised
120820,Embark Services Limited,2018-01-01,0,6,Not hold and not control client money,Regulated,0,31.0,,,5.0,5.0,2.5,1,active,ltd,0,1,1,6,53,0.83,0,0,Authorised
120820,Embark Services Limited,2019-01-01,0,6,Not hold and not control client money,Regulated,0,32.0,0.0,0.0,5.0,4.0,3.5,1,active,ltd,4,1,1,6,54,0.83,4,0,Authorised
120820,Embark Services Limited,2020-01-01,0,6,Not hold and not control client money,Regulated,0,33.0,0.0,0.0,3.0,2.0,3.8,1,active,ltd,10,1,1,4,54,0.75,10,0,Authorised
120820,Embark Services Limited,2021-01-01,0,6,Not hold and not control client money,Regulated,0,34.0,0.0,0.0,4.0,2.0,3.7,1,active,ltd,16,1,1,5,56,0.8,16,0,Authorised
120820,Embark Services Limited,2022-01-01,0,6,Not hold and not control client money,Regulated,0,35.0,0.0,0.0,3.0,1.0,3.6,1,active,ltd,33,1,1,4,56,0.75,29,0,Authorised
120820,Embark Services Limited,2023-01-01,0,6,Not hold and not control client money,Regulated,0,36.0,0.0,0.0,8.0,5.0,0.3,1,active,ltd,52,1,1,9,66,0.89,42,0,Authorised
120820,Embark Services Limited,2024-01-01,0,6,Not hold and not control client money,Regulated,0,37.0,0.0,0.0,6.0,7.0,1.4,1,active,ltd,60,1,1,7,67,0.86,44,0,Authorised
120821,Slade Edwards & Co (Insurance Brokers) Limited,2016-01-01,0,0,,Regulated,0,38.4,0.0,0.0,5.0,0.0,6.7,1,dissolved,ltd,73,0,0,6,7,0.83,8,0,No longer authorised
120822,Carter Pearl Limited,2016-01-01,0,6,Not hold and not control client money,Regulated,0,29.7,0.0,0.0,1.0,0.0,,1,active,ltd,79,1,1,1,5,1.0,9,0,Authorised
