frn,firm_name,obs_date,y,ch_number,status,status_date,n_permissions,client_money,business_type,firm_age_years,accounts_days_late,accounts_late_3yr_avg,director_count,director_churn_24m,mean_director_tenure,n_active_officers,n_total_officers,total_filings,filing_count_3yr,company_status,company_type,has_ch_data
120776,W1M Wealth Management Limited,2016-01-01,0,02080604,Authorised,01/12/2001,12,Not hold and not control client money,Regulated,29.1,0.0,0.0,2.0,0.0,,2.0,7.0,33.0,7.0,active,ltd,1
120776,W1M Wealth Management Limited,2017-01-01,0,02080604,Authorised,01/12/2001,12,Not hold and not control client money,Regulated,30.1,0.0,0.0,1.0,1.0,,1.0,7.0,41.0,11.0,active,ltd,1
120776,W1M Wealth Management Limited,2018-01-01,0,02080604,Authorised,01/12/2001,12,Not hold and not control client money,Regulated,31.1,0.0,0.0,1.0,1.0,,1.0,7.0,47.0,16.0,active,ltd,1
120776,W1M Wealth Management Limited,2019-01-01,0,02080604,Authorised,01/12/2001,12,Not hold and not control client money,Regulated,32.1,0.0,0.0,1.0,0.0,,1.0,7.0,52.0,19.0,active,ltd,1
120776,W1M Wealth Management Limited,2020-01-01,0,02080604,Authorised,01/12/2001,12,Not hold and not control client money,Regulated,33.1,0.0,0.0,5.0,1.0,0.5,6.0,13.0,61.0,20.0,active,ltd,1
120776,W1M Wealth Management Limited,2021-01-01,0,02080604,Authorised,01/12/2001,12,Not hold and not control client money,Regulated,34.1,0.0,19.0,6.0,1.0,1.4,7.0,14.0,65.0,18.0,active,ltd,1
120776,W1M Wealth Management Limited,2022-01-01,0,02080604,Authorised,01/12/2001,12,Not hold and not control client money,Regulated,35.1,0.0,19.0,7.0,0.0,2.2,8.0,15.0,67.0,15.0,active,ltd,1
120776,W1M Wealth Management Limited,2023-01-01,0,02080604,Authorised,01/12/2001,12,Not hold and not control client money,Regulated,36.1,0.0,19.0,7.0,0.0,3.2,8.0,15.0,70.0,9.0,active,ltd,1
120776,W1M Wealth Management Limited,2024-01-01,0,02080604,Authorised,01/12/2001,12,Not hold and not control client money,Regulated,37.1,0.0,0.0,7.0,0.0,4.2,8.0,15.0,72.0,7.0,active,ltd,1
120804,Punter Southall Health and Protection Consulting (Original) Limited,2016-01-01,0,1393888,No longer authorised,25/02/2016,0,,Regulated,37.2,0.0,0.0,5.0,0.0,6.3,6.0,12.0,90.0,18.0,dissolved,ltd,1
120820,Embark Services Limited,2016-01-01,0,02089815,Authorised,01/12/2001,6,Not hold and not control client money,Regulated,29.0,,,8.0,0.0,3.7,8.0,50.0,0.0,0.0,active,ltd,1
120820,Embark Services Limited,2017-01-01,0,02089815,Authorised,01/12/2001,6,Not hold and not control client money,Regulated,30.0,,,7.0,1.0,4.5,7.0,50.0,0.0,0.0,active,ltd,1
120820,Embark Services Limited,2018-01-01,0,02089815,Authorised,01/12/2001,6,Not hold and not control client money,Regulated,31.0,,,5.0,5.0,2.5,6.0,53.0,0.0,0.0,active,ltd,1
120820,Embark Services Limited,2019-01-01,0,02089815,Authorised,01/12/2001,6,Not hold and not control client money,Regulated,32.0,0.0,0.0,5.0,4.0,3.5,6.0,54.0,4.0,4.0,active,ltd,1
120820,Embark Services Limited,2020-01-01,0,02089815,Authorised,01/12/2001,6,Not hold and not control client money,Regulated,33.0,0.0,0.0,3.0,2.0,3.8,4.0,54.0,10.0,10.0,active,ltd,1
120820,Embark Services Limited,2021-01-01,0,02089815,Authorised,01/12/2001,6,Not hold and not control client money,Regulated,34.0,0.0,0.0,4.0,2.0,3.7,5.0,56.0,16.0,16.0,active,ltd,1
120820,Embark Services Limited,2022-01-01,0,02089815,Authorised,01/12/2001,6,Not hold and not control client money,Regulated,35.0,0.0,0.0,3.0,1.0,3.6,4.0,56.0,33.0,29.0,active,ltd,1
120820,Embark Services Limited,2023-01-01,0,02089815,Authorised,01/12/2001,6,Not hold and not control client money,Regulated,36.0,0.0,0.0,8.0,5.0,0.3,9.0,66.0,52.0,42.0,active,ltd,1
120820,Embark Services Limited,2024-01-01,0,02089815,Authorised,01/12/2001,6,Not hold and not control client money,Regulated,37.0,0.0,0.0,6.0,7.0,1.4,7.0,67.0,60.0,44.0,active,ltd,1
120821,Slade Edwards & Co (Insurance Brokers) Limited,2016-01-01,0,1324670,No longer authorised,11/01/2018,0,,Regulated,38.4,0.0,0.0,5.0,0.0,6.7,6.0,7.0,73.0,8.0,dissolved,ltd,1
120821,Slade Edwards & Co (Insurance Brokers) Limited,2017-01-01,0,1324670,No longer authorised,11/01/2018,0,,Regulated,39.4,0.0,0.0,4.0,1.0,7.7,5.0,7.0,76.0,8.0,dissolved,ltd,1
120821,Slade Edwards & Co (Insurance Brokers) Limited,2018-01-01,0,1324670,No longer authorised,11/01/2018,0,,Regulated,40.4,0.0,0.0,4.0,1.0,8.7,5.0,7.0,80.0,10.0,dissolved,ltd,1
120822,Carter Pearl Limited,2016-01-01,0,02017052,Authorised,01/12/2001,6,Not hold and not control client money,Regulated,29.7,0.0,0.0,1.0,0.0,,1.0,5.0,79.0,9.0,active,ltd,1
120822,Carter Pearl Limited,2017-01-01,0,02017052,Authorised,01/12/2001,6,Not hold and not control client money,Regulated,30.7,0.0,0.0,1.0,0.0,,1.0,5.0,81.0,6.0,active,ltd,1
120822,Carter Pearl Limited,2018-01-01,0,02017052,Authorised,01/12/2001,6,Not hold and not control client money,Regulated,31.7,0.0,0.0,1.0,0.0,,1.0,5.0,83.0,6.0,active,ltd,1
120822,Carter Pearl Limited,2019-01-01,0,02017052,Authorised,01/12/2001,6,Not hold and not control client money,Regulated,32.7,0.0,0.0,1.0,0.0,,1.0,5.0,85.0,6.0,active,ltd,1
120822,Carter Pearl Limited,2020-01-01,0,02017052,Authorised,01/12/2001,6,Not hold and not control client money,Regulated,33.7,0.0,0.0,1.0,0.0,,1.0,5.0,87.0,6.0,active,ltd,1
120822,Carter Pearl Limited,2021-01-01,0,02017052,Authorised,01/12/2001,6,Not hold and not control client money,Regulated,34.7,0.0,0.0,1.0,0.0,,1.0,5.0,89.0,6.0,active,ltd,1
120822,Carter Pearl Limited,2022-01-01,0,02017052,Authorised,01/12/2001,6,Not hold and not control client money,Regulated,35.7,0.0,0.0,1.0,0.0,,1.0,5.0,91.0,6.0,active,ltd,1
120822,Carter Pearl Limited,2023-01-01,0,02017052,Authorised,01/12/2001,6,Not hold and not control client money,Regulated,36.7,0.0,0.0,1.0,0.0,,1.0,5.0,93.0,6.0,active,ltd,1
120822,Carter Pearl Limited,2024-01-01,0,02017052,Authorised,01/12/2001,6,Not hold and not control client money,Regulated,37.7,0.0,0.0,1.0,0.0,,1.0,5.0,95.0,6.0,active,ltd,1
120845,Arthur Brown (Insurance Brokers) Limited,2016-01-01,0,00257340,No longer authorised,20/01/2023,0,,Regulated,84.5,0.0,0.0,2.0,0.0,8.5,2.0,7.0,71.0,6.0,liquidation,ltd,1
120845,Arthur Brown (Insurance Brokers) Limited,2017-01-01,0,00257340,No longer authorised,20/01/2023,0,,Regulated,85.5,0.0,0.0,2.0,0.0,9.5,2.0,7.0,73.0,5.0,liquidation,ltd,1
120845,Arthur Brown (Insurance Brokers) Limited,2018-01-01,0,00257340,No longer authorised,20/01/2023,0,,Regulated,86.5,0.0,0.0,1.0,1.0,14.5,1.0,7.0,79.0,10.0,liquidation,ltd,1
120845,Arthur Brown (Insurance Brokers) Limited,2019-01-01,0,00257340,No longer authorised,20/01/2023,0,,Regulated,87.5,0.0,0.0,1.0,1.0,15.5,1.0,7.0,82.0,11.0,liquidation,ltd,1
120845,Arthur Brown (Insurance Brokers) Limited,2020-01-01,0,00257340,No longer authorised,20/01/2023,0,,Regulated,88.5,0.0,0.0,1.0,0.0,16.5,1.0,7.0,84.0,11.0,liquidation,ltd,1
120845,Arthur Brown (Insurance Brokers) Limited,2021-01-01,0,00257340,No longer authorised,20/01/2023,0,,Regulated,89.5,0.0,0.0,1.0,0.0,17.5,1.0,7.0,86.0,7.0,liquidation,ltd,1
120845,Arthur Brown (Insurance Brokers) Limited,2022-01-01,0,00257340,No longer authorised,20/01/2023,0,,Regulated,90.5,0.0,0.0,1.0,0.0,18.5,1.0,7.0,93.0,11.0,liquidation,ltd,1
120845,Arthur Brown (Insurance Brokers) Limited,2023-01-01,0,00257340,No longer authorised,20/01/2023,0,,Regulated,91.5,0.0,0.0,1.0,0.0,19.5,1.0,7.0,94.0,10.0,liquidation,ltd,1
120918,W.DENIS FINANCIAL SERVICES LIMITED,2016-01-01,0,02084973,Authorised,01/12/2001,8,Not hold and not control client money,Regulated,29.0,0.0,0.0,1.0,1.0,9.9,2.0,10.0,64.0,12.0,active,ltd,1
120918,W.DENIS FINANCIAL SERVICES LIMITED,2017-01-01,0,02084973,Authorised,01/12/2001,8,Not hold and not control client money,Regulated,30.0,0.0,0.0,1.0,0.0,10.9,2.0,10.0,66.0,10.0,active,ltd,1
120918,W.DENIS FINANCIAL SERVICES LIMITED,2018-01-01,0,02084973,Authorised,01/12/2001,8,Not hold and not control client money,Regulated,31.0,0.0,0.0,1.0,0.0,11.9,2.0,10.0,68.0,6.0,active,ltd,1
120918,W.DENIS FINANCIAL SERVICES LIMITED,2019-01-01,0,02084973,Authorised,01/12/2001,8,Not hold and not control client money,Regulated,32.0,0.0,0.0,1.0,0.0,12.9,2.0,10.0,70.0,6.0,active,ltd,1
120918,W.DENIS FINANCIAL SERVICES LIMITED,2020-01-01,0,02084973,Authorised,01/12/2001,8,Not hold and not control client money,Regulated,33.0,0.0,0.0,1.0,0.0,13.9,2.0,10.0,72.0,6.0,active,ltd,1
120918,W.DENIS FINANCIAL SERVICES LIMITED,2021-01-01,0,02084973,Authorised,01/12/2001,8,Not hold and not control client money,Regulated,34.0,0.0,0.0,1.0,0.0,14.9,2.0,10.0,74.0,6.0,active,ltd,1
120918,W.DENIS FINANCIAL SERVICES LIMITED,2022-01-01,0,02084973,Authorised,01/12/2001,8,Not hold and not control client money,Regulated,35.0,0.0,0.0,1.0,0.0,15.9,2.0,10.0,76.0,6.0,active,ltd,1
120918,W.DENIS FINANCIAL SERVICES LIMITED,2023-01-01,0,02084973,Authorised,01/12/2001,8,Not hold and not control client money,Regulated,36.0,0.0,0.0,1.0,0.0,16.9,2.0,10.0,78.0,6.0,active,ltd,1
120918,W.DENIS FINANCIAL SERVICES LIMITED,2024-01-01,0,02084973,Authorised,01/12/2001,8,Not hold and not control client money,Regulated,37.0,0.0,0.0,1.0,0.0,17.9,2.0,10.0,80.0,6.0,active,ltd,1
120923,Timothy Lawrence Insurance Brokers Limited,2016-01-01,0,01748888,Authorised,01/12/2001,7,Hold and control client money,Regulated,32.3,0.0,0.0,2.0,0.0,0.7,2.0,4.0,67.0,7.0,active,ltd,1
120923,Timothy Lawrence Insurance Brokers Limited,2017-01-01,0,01748888,Authorised,01/12/2001,7,Hold and control client money,Regulated,33.3,0.0,0.0,2.0,0.0,1.7,2.0,4.0,71.0,8.0,active,ltd,1
120923,Timothy Lawrence Insurance Brokers Limited,2018-01-01,0,01748888,Authorised,01/12/2001,7,Hold and control client money,Regulated,34.3,0.0,0.0,2.0,0.0,2.7,2.0,4.0,73.0,8.0,active,ltd,1
120923,Timothy Lawrence Insurance Brokers Limited,2019-01-01,0,01748888,Authorised,01/12/2001,7,Hold and control client money,Regulated,35.3,0.0,0.0,2.0,0.0,3.7,2.0,4.0,75.0,8.0,active,ltd,1
120923,Timothy Lawrence Insurance Brokers Limited,2020-01-01,0,01748888,Authorised,01/12/2001,7,Hold and control client money,Regulated,36.3,0.0,0.0,2.0,0.0,4.7,2.0,4.0,77.0,6.0,active,ltd,1
120923,Timothy Lawrence Insurance Brokers Limited,2021-01-01,0,01748888,Authorised,01/12/2001,7,Hold and control client money,Regulated,37.3,0.0,0.0,2.0,0.0,5.7,2.0,4.0,80.0,7.0,active,ltd,1
120923,Timothy Lawrence Insurance Brokers Limited,2022-01-01,0,01748888,Authorised,01/12/2001,7,Hold and control client money,Regulated,38.3,0.0,0.0,2.0,0.0,6.7,2.0,4.0,82.0,7.0,active,ltd,1
120923,Timothy Lawrence Insurance Brokers Limited,2023-01-01,0,01748888,Authorised,01/12/2001,7,Hold and control client money,Regulated,39.3,0.0,0.0,2.0,0.0,7.7,2.0,4.0,84.0,7.0,active,ltd,1
120923,Timothy Lawrence Insurance Brokers Limited,2024-01-01,0,01748888,Authorised,01/12/2001,7,Hold and control client money,Regulated,40.3,0.0,0.0,2.0,0.0,8.7,2.0,4.0,86.0,6.0,active,ltd,1
120927,D.J. Cooke (Life & Pensions) Limited,2016-01-01,0,01917232,No longer authorised,30/03/2023,0,,Regulated,30.6,0.0,0.0,2.0,0.0,7.4,3.0,7.0,77.0,6.0,dissolved,ltd,1
120927,D.J. Cooke (Life & Pensions) Limited,2017-01-01,0,01917232,No longer authorised,30/03/2023,0,,Regulated,31.6,0.0,0.0,2.0,0.0,8.4,3.0,7.0,79.0,6.0,dissolved,ltd,1
120927,D.J. Cooke (Life & Pensions) Limited,2018-01-01,0,01917232,No longer authorised,30/03/2023,0,,Regulated,32.6,0.0,0.0,2.0,0.0,9.4,3.0,7.0,81.0,6.0,dissolved,ltd,1
120927,D.J. Cooke (Life & Pensions) Limited,2019-01-01,0,01917232,No longer authorised,30/03/2023,0,,Regulated,33.6,0.0,0.0,2.0,0.0,10.4,3.0,7.0,83.0,6.0,dissolved,ltd,1
120927,D.J. Cooke (Life & Pensions) Limited,2020-01-01,0,01917232,No longer authorised,30/03/2023,0,,Regulated,34.6,0.0,0.0,2.0,0.0,11.4,3.0,7.0,85.0,6.0,dissolved,ltd,1
120927,D.J. Cooke (Life & Pensions) Limited,2021-01-01,0,01917232,No longer authorised,30/03/2023,0,,Regulated,35.6,0.0,0.0,2.0,0.0,12.4,3.0,7.0,87.0,6.0,dissolved,ltd,1
120927,D.J. Cooke (Life & Pensions) Limited,2022-01-01,0,01917232,No longer authorised,30/03/2023,0,,Regulated,36.6,0.0,0.0,1.0,1.0,,2.0,7.0,92.0,9.0,dissolved,ltd,1
120927,D.J. Cooke (Life & Pensions) Limited,2023-01-01,0,01917232,No longer authorised,30/03/2023,0,,Regulated,37.6,0.0,0.0,1.0,1.0,,2.0,7.0,96.0,11.0,dissolved,ltd,1
120967,Michael Ambrose Limited,2016-01-01,0,01602819,No longer authorised,10/10/2025,0,,Regulated,34.1,0.0,0.0,3.0,0.0,10.7,4.0,8.0,53.0,9.0,active,ltd,1
120967,Michael Ambrose Limited,2017-01-01,0,01602819,No longer authorised,10/10/2025,0,,Regulated,35.1,0.0,0.0,3.0,0.0,11.7,4.0,8.0,55.0,9.0,active,ltd,1
120967,Michael Ambrose Limited,2018-01-01,0,01602819,No longer authorised,10/10/2025,0,,Regulated,36.1,0.0,0.0,3.0,0.0,12.7,4.0,8.0,57.0,9.0,active,ltd,1
120967,Michael Ambrose Limited,2019-01-01,0,01602819,No longer authorised,10/10/2025,0,,Regulated,37.1,0.0,0.0,3.0,0.0,13.7,4.0,8.0,59.0,6.0,active,ltd,1
120967,Michael Ambrose Limited,2020-01-01,0,01602819,No longer authorised,10/10/2025,0,,Regulated,38.1,0.0,0.0,3.0,0.0,14.7,4.0,8.0,61.0,6.0,active,ltd,1
120967,Michael Ambrose Limited,2021-01-01,0,01602819,No longer authorised,10/10/2025,0,,Regulated,39.1,0.0,0.0,2.0,1.0,21.1,3.0,8.0,64.0,7.0,active,ltd,1
120967,Michael Ambrose Limited,2022-01-01,0,01602819,No longer authorised,10/10/2025,0,,Regulated,40.1,0.0,0.0,2.0,1.0,22.1,3.0,8.0,68.0,9.0,active,ltd,1
120967,Michael Ambrose Limited,2023-01-01,0,01602819,No longer authorised,10/10/2025,0,,Regulated,41.1,0.0,0.0,2.0,0.0,23.1,3.0,8.0,70.0,9.0,active,ltd,1
120967,Michael Ambrose Limited,2024-01-01,0,01602819,No longer authorised,10/10/2025,0,,Regulated,42.1,0.0,0.0,2.0,0.0,24.1,3.0,8.0,72.0,8.0,active,ltd,1
120973,Everall Rolfe Associates Limited,2016-01-01,0,01689133,Authorised,01/12/2001,8,Hold and control client money,Regulated,33.0,0.0,0.0,2.0,0.0,13.6,3.0,6.0,77.0,6.0,active,ltd,1
120973,Everall Rolfe Associates Limited,2017-01-01,0,01689133,Authorised,01/12/2001,8,Hold and control client money,Regulated,34.0,0.0,0.0,2.0,0.0,14.6,3.0,6.0,79.0,6.0,active,ltd,1
120973,Everall Rolfe Associates Limited,2018-01-01,0,01689133,Authorised,01/12/2001,8,Hold and control client money,Regulated,35.0,0.0,0.0,2.0,0.0,15.6,3.0,6.0,81.0,6.0,active,ltd,1
