frn,firm_name,obs_date,y,ch_number,status,status_date,n_permissions,client_money,business_type
120776,W1M Wealth Management Limited,2016-01-01,0,02080604,Authorised,01/12/2001,12,Not hold and not control client money,Regulated
120776,W1M Wealth Management Limited,2017-01-01,0,02080604,Authorised,01/12/2001,12,Not hold and not control client money,Regulated
120776,W1M Wealth Management Limited,2018-01-01,0,02080604,Authorised,01/12/2001,12,Not hold and not control client money,Regulated
120776,W1M Wealth Management Limited,2019-01-01,0,02080604,Authorised,01/12/2001,12,Not hold and not control client money,Regulated
120776,W1M Wealth Management Limited,2020-01-01,0,02080604,Authorised,01/12/2001,12,Not hold and not control client money,Regulated
120776,W1M Wealth Management Limited,2021-01-01,0,02080604,Authorised,01/12/2001,12,Not hold and not control client money,Regulated
120776,W1M Wealth Management Limited,2022-01-01,0,02080604,Authorised,01/12/2001,12,Not hold and not control client money,Regulated
120776,W1M Wealth Management Limited,2023-01-01,0,02080604,Authorised,01/12/2001,12,Not hold and not control client money,Regulated
120776,W1M Wealth Management Limited,2024-01-01,0,02080604,Authorised,01/12/2001,12,Not hold and not control client money,Regulated
120804,Punter Southall Health and Protection Consulting (Original) Limited,2016-01-01,0,1393888,No longer authorised,25/02/2016,0,,Regulated
120820,Embark Services Limited,2016-01-01,0,02089815,Authorised,01/12/2001,6,Not hold and not control client money,Regulated
120820,Embark Services Limited,2017-01-01,0,02089815,Authorised,01/12/2001,6,Not hold and not control client money,Regulated
120820,Embark Services Limited,2018-01-01,0,02089815,Authorised,01/12/2001,6,Not hold and not control client money,Regulated
120820,Embark Services Limited,2019-01-01,0,02089815,Authorised,01/12/2001,6,Not hold and not control client money,Regulated
120820,Embark Services Limited,2020-01-01,0,02089815,Authorised,01/12/2001,6,Not hold and not control client money,Regulated
120820,Embark Services Limited,2021-01-01,0,02089815,Authorised,01/12/2001,6,Not hold and not control client money,Regulated
120820,Embark Services Limited,2022-01-01,0,02089815,Authorised,01/12/2001,6,Not hold and not control client money,Regulated
120820,Embark Services Limited,2023-01-01,0,02089815,Authorised,01/12/2001,6,Not hold and not control client money,Regulated
120820,Embark Services Limited,2024-01-01,0,02089815,Authorised,01/12/2001,6,Not hold and not control client money,Regulated
120821,Slade Edwards & Co (Insurance Brokers) Limited,2016-01-01,0,1324670,No longer authorised,11/01/2018,0,,Regulated
120821,Slade Edwards & Co (Insurance Brokers) Limited,2017-01-01,0,1324670,No longer authorised,11/01/2018,0,,Regulated
120821,Slade Edwards & Co (Insurance Brokers) Limited,2018-01-01,0,1324670,No longer authorised,11/01/2018,0,,Regulated
120822,Carter Pearl Limited,2016-01-01,0,02017052,Authorised,01/12/2001,6,Not hold and not control client money,Regulated
120822,Carter Pearl Limited,2017-01-01,0,02017052,Authorised,01/12/2001,6,Not hold and not control client money,Regulated
120822,Carter Pearl Limited,2018-01-01,0,02017052,Authorised,01/12/2001,6,Not hold and not control client money,Regulated
120822,Carter Pearl Limited,2019-01-01,0,02017052,Authorised,01/12/2001,6,Not hold and not control client money,Regulated
120822,Carter Pearl Limited,2020-01-01,0,02017052,Authorised,01/12/2001,6,Not hold and not control client money,Regulated
120822,Carter Pearl Limited,2021-01-01,0,02017052,Authorised,01/12/2001,6,Not hold and not control client money,Regulated
120822,Carter Pearl Limited,2022-01-01,0,02017052,Authorised,01/12/2001,6,Not hold and not control client money,Regulated
120822,Carter Pearl Limited,2023-01-01,0,02017052,Authorised,01/12/2001,6,Not hold and not control client money,Regulated
120822,Carter Pearl Limited,2024-01-01,0,02017052,Authorised,01/12/2001,6,Not hold and not control client money,Regulated
120845,Arthur Brown (Insurance Brokers) Limited,2016-01-01,0,00257340,No longer authorised,20/01/2023,0,,Regulated
120845,Arthur Brown (Insurance Brokers) Limited,2017-01-01,0,00257340,No longer authorised,20/01/2023,0,,Regulated
120845,Arthur Brown (Insurance Brokers) Limited,2018-01-01,0,00257340,No longer authorised,20/01/2023,0,,Regulated
120845,Arthur Brown (Insurance Brokers) Limited,2019-01-01,0,00257340,No longer authorised,20/01/2023,0,,Regulated
120845,Arthur Brown (Insurance Brokers) Limited,2020-01-01,0,00257340,No longer authorised,20/01/2023,0,,Regulated
120845,Arthur Brown (Insurance Brokers) Limited,2021-01-01,0,00257340,No longer authorised,20/01/2023,0,,Regulated
120845,Arthur Brown (Insurance Brokers) Limited,2022-01-01,0,00257340,No longer authorised,20/01/2023,0,,Regulated
120845,Arthur Brown (Insurance Brokers) Limited,2023-01-01,0,00257340,No longer authorised,20/01/2023,0,,Regulated
120918,W.DENIS FINANCIAL SERVICES LIMITED,2016-01-01,0,02084973,Authorised,01/12/2001,8,Not hold and not control client money,Regulated
120918,W.DENIS FINANCIAL SERVICES LIMITED,2017-01-01,0,02084973,Authorised,01/12/2001,8,Not hold and not control client money,Regulated
120918,W.DENIS FINANCIAL SERVICES LIMITED,2018-01-01,0,02084973,Authorised,01/12/2001,8,Not hold and not control client money,Regulated
120918,W.DENIS FINANCIAL SERVICES LIMITED,2019-01-01,0,02084973,Authorised,01/12/2001,8,Not hold and not control client money,Regulated
120918,W.DENIS FINANCIAL SERVICES LIMITED,2020-01-01,0,02084973,Authorised,01/12/2001,8,Not hold and not control client money,Regulated
120918,W.DENIS FINANCIAL SERVICES LIMITED,2021-01-01,0,02084973,Authorised,01/12/2001,8,Not hold and not control client money,Regulated
120918,W.DENIS FINANCIAL SERVICES LIMITED,2022-01-01,0,02084973,Authorised,01/12/2001,8,Not hold and not control client money,Regulated
120918,W.DENIS FINANCIAL SERVICES LIMITED,2023-01-01,0,02084973,Authorised,01/12/2001,8,Not hold and not control client money,Regulated
120918,W.DENIS FINANCIAL SERVICES LIMITED,2024-01-01,0,02084973,Authorised,01/12/2001,8,Not hold and not control client money,Regulated
